2019-01-02 13:18:00 +0000 UTC	Boys of the Old Brigade	The Davitts	Celtic Anthems	https://www.last.fm/music/The+Davitts/_/Boys+of+the+Old+Brigade
2019-01-02 13:22:00 +0000 UTC	Rocky Road To Dublin	The Young Dubliners	Pure... Celtic	https://www.last.fm/music/The+Young+Dubliners/_/Rocky+Road+To+Dublin
2019-01-02 13:25:00 +0000 UTC	The Crack Was 90	Dublin City Ramblers	Dublin City Ramblers Live	https://www.last.fm/music/Dublin+City+Ramblers/_/The+Crack+Was+90
2019-01-02 13:29:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
2019-01-02 13:32:00 +0000 UTC	The Crack Was 90	Dublin City Ramblers	Dublin City Ramblers Live	https://www.last.fm/music/Dublin+City+Ramblers/_/The+Crack+Was+90
2019-01-02 14:20:00 +0000 UTC	The Green Fields of France	The Fureys	Twenty One Years On	https://www.last.fm/music/The+Fureys/_/The+Green+Fields+of+France
2019-01-02 14:23:00 +0000 UTC	South Australia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/South+Australia
2019-01-02 14:26:00 +0000 UTC	Rocky Road To Dublin	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Rocky+Road+To+Dublin
2019-01-02 14:30:00 +0000 UTC	Before the Deluge	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Before+the+Deluge
2019-01-02 14:34:00 +0000 UTC	Caledonia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Caledonia
2019-01-02 14:37:00 +0000 UTC	Spanish lady	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Spanish+lady
2019-01-02 14:41:00 +0000 UTC	Fainleog	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fainleog
2019-01-02 14:49:00 +0000 UTC	Wild Colonial Boy	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Wild+Colonial+Boy
2019-01-02 14:55:00 +0000 UTC	The Badger Sett	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/The+Badger+Sett
2019-01-02 14:58:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
2019-01-02 15:02:00 +0000 UTC	Fiddlers Green	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fiddlers+Green
2019-01-02 15:05:00 +0000 UTC	Cry Of The Burren	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Cry+Of+The+Burren
2019-01-02 15:10:00 +0000 UTC	Before the Deluge	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Before+the+Deluge
2019-01-02 15:14:00 +0000 UTC	Caledonia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Caledonia
2019-01-02 15:17:00 +0000 UTC	Spanish lady	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Spanish+lady
2019-01-02 15:20:00 +0000 UTC	Fainleog	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fainleog
2019-01-02 15:24:00 +0000 UTC	Wild Colonial Boy	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Wild+Colonial+Boy
2019-01-02 15:28:00 +0000 UTC	The Badger Sett	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/The+Badger+Sett
2019-01-02 15:32:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
2019-01-02 15:36:00 +0000 UTC	Fiddlers Green	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fiddlers+Green
2019-01-02 15:39:00 +0000 UTC	Cry Of The Burren	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Cry+Of+The+Burren
2019-01-02 15:41:00 +0000 UTC	Bold o'donahue	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Bold+o%27donahue
2019-01-02 15:44:00 +0000 UTC	Rocky Road To Dublin	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Rocky+Road+To+Dublin
2019-01-02 15:47:00 +0000 UTC	Molly Malone	The Dubliners	The Dubliners	https://www.last.fm/music/The+Dubliners/_/Molly+Malone
2019-01-02 15:47:00 +0000 UTC	God Rest Ye Merry Gentlemen	The Irish Rovers	Songs of Christmas	https://www.last.fm/music/The+Irish+Rovers/_/God+Rest+Ye+Merry+Gentlemen
2019-01-02 15:48:00 +0000 UTC	Wild Rover	The Dubliners	Cream Of Irish Folk	https://www.last.fm/music/The+Dubliners/_/Wild+Rover
2019-01-02 15:52:00 +0000 UTC	Roasie Lou	The O'Reillys and the Paddyhats	Green Blood	https://www.last.fm/music/The+O%27Reillys+and+the+Paddyhats/_/Roasie+Lou
2019-01-02 15:56:00 +0000 UTC	This Is Our Time	The O'Reillys and the Paddyhats	Green Blood	https://www.last.fm/music/The+O%27Reillys+and+the+Paddyhats/_/This+Is+Our+Time
2019-01-02 15:59:00 +0000 UTC	Rockstar	The O'Reillys and the Paddyhats	Green Blood	https://www.last.fm/music/The+O%27Reillys+and+the+Paddyhats/_/Rockstar
2019-01-02 16:02:00 +0000 UTC	Where Your Heart Is	The O'Reillys and the Paddyhats	Green Blood	https://www.last.fm/music/The+O%27Reillys+and+the+Paddyhats/_/Where+Your+Heart+Is
2019-01-02 16:05:00 +0000 UTC	Yesterday's Rebel	The O'Reillys and the Paddyhats	Green Blood	https://www.last.fm/music/The+O%27Reillys+and+the+Paddyhats/_/Yesterday%27s+Rebel
2019-01-02 16:09:00 +0000 UTC	The Season's Upon Us	Dropkick Murphys	Signed and Sealed in Blood	https://www.last.fm/music/Dropkick+Murphys/_/The+Season%27s+Upon+Us
2019-01-02 16:13:00 +0000 UTC	Requiem for a Dying Song	Flogging Molly	Float	https://www.last.fm/music/Flogging+Molly/_/Requiem+for+a+Dying+Song
2019-01-02 16:13:00 +0000 UTC	The Sunk'n Norwegian	Alestorm	Alestorm - Back Through Time (MP3 Album)	https://www.last.fm/music/Alestorm/_/The+Sunk%27n+Norwegian
2019-01-02 16:17:00 +0000 UTC	Devil's Dance Floor	Flogging Molly	Swagger	https://www.last.fm/music/Flogging+Molly/_/Devil%27s+Dance+Floor
2019-01-02 16:20:00 +0000 UTC	The Warrior's Code	Dropkick Murphys	The Warrior's Code	https://www.last.fm/music/Dropkick+Murphys/_/The+Warrior%27s+Code
2019-01-02 16:24:00 +0000 UTC	The Worst Day Since Yesterday	Flogging Molly	Swagger	https://www.last.fm/music/Flogging+Molly/_/The+Worst+Day+Since+Yesterday
2019-01-02 16:29:00 +0000 UTC	Rose Tattoo	Dropkick Murphys	Signed and Sealed in Blood	https://www.last.fm/music/Dropkick+Murphys/_/Rose+Tattoo
2019-01-02 16:32:00 +0000 UTC	I'm Shipping Up to Boston	Dropkick Murphys	The Warrior's Code	https://www.last.fm/music/Dropkick+Murphys/_/I%27m+Shipping+Up+to+Boston
2019-01-02 16:36:00 +0000 UTC	The Season's Upon Us	Dropkick Murphys	Signed and Sealed in Blood	https://www.last.fm/music/Dropkick+Murphys/_/The+Season%27s+Upon+Us
2019-01-02 16:39:00 +0000 UTC	You'll Never Walk Alone	Dropkick Murphys	11 Short Stories of Pain  Glory	https://www.last.fm/music/Dropkick+Murphys/_/You%27ll+Never+Walk+Alone
2019-01-02 16:41:00 +0000 UTC	Johnny, I Hardly Knew Ya	Dropkick Murphys	The Meanest of Times	https://www.last.fm/music/Dropkick+Murphys/_/Johnny,+I+Hardly+Knew+Ya
2019-01-02 16:45:00 +0000 UTC	Fiddlers Green	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fiddlers+Green
2019-01-02 16:48:00 +0000 UTC	Galway Girl	The Kilkennys	Essential Irish Pub Songs	https://www.last.fm/music/The+Kilkennys/_/Galway+Girl
2019-01-02 16:53:00 +0000 UTC	The Badger Sett	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/The+Badger+Sett
2019-01-02 16:57:00 +0000 UTC	Caledonia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Caledonia
2019-01-02 17:00:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
2019-01-02 17:04:00 +0000 UTC	Fainleog	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fainleog
2019-01-02 17:08:00 +0000 UTC	Before the Deluge	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Before+the+Deluge
2019-01-02 17:11:00 +0000 UTC	Rocky Road To Dublin	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Rocky+Road+To+Dublin
