Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	30	https://www.last.fm/tag/30
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	60's	https://www.last.fm/tag/60%27s
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	100	60s	https://www.last.fm/tag/60s
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	5	Bobby Fullier Four	https://www.last.fm/tag/Bobby+Fullier+Four
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	California	https://www.last.fm/tag/California
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	Driving	https://www.last.fm/tag/Driving
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	Fading Yellow	https://www.last.fm/tag/Fading+Yellow
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	Frat Rock	https://www.last.fm/tag/Frat+Rock
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	Garage Rock	https://www.last.fm/tag/Garage+Rock
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	Hot Rod	https://www.last.fm/tag/Hot+Rod
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	5	Myjukebox	https://www.last.fm/tag/Myjukebox
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	One Hit Wonders	https://www.last.fm/tag/One+Hit+Wonders
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	Psy-Fi Radio	https://www.last.fm/tag/Psy-Fi+Radio
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	5	Rock and Roll	https://www.last.fm/tag/Rock+and+Roll
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	11	Surf	https://www.last.fm/tag/Surf
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	5	USA	https://www.last.fm/tag/USA
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	13	american	https://www.last.fm/tag/american
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	bayton	https://www.last.fm/tag/bayton
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	86	classic rock	https://www.last.fm/tag/classic+rock
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	5	country	https://www.last.fm/tag/country
